numParticles 49189
5.510059 -1.605918 -0.737001
4.631970 -1.795585 -1.146920
5.440759 -1.785322 -0.938294
5.494673 -1.787693 -0.999293
5.653240 -1.565510 -1.179833
5.447453 -1.789757 -0.757848
5.663626 -1.507998 -0.889987
5.439770 -1.691107 -0.765742
5.515335 -1.778469 -0.897839
5.544269 -1.690288 -0.721991
5.522715 -1.584446 -0.841301
5.238308 -1.493716 -1.370960
5.699212 -1.569969 -0.983401
5.562288 -1.462948 -0.539985
5.635617 -1.688225 -1.148662
5.616089 -1.674389 -0.629575
5.298999 -1.577466 -1.129059
5.452381 -1.790750 -0.838875
5.681819 -1.585230 -0.742605
5.511856 -1.473988 -0.624724
5.447857 -1.688674 -1.180106
5.706495 -1.502650 -0.685091
5.530799 -1.680731 -1.090958
